,descricao_produto
364210,JOELHO ESG 100 X 90 A
82951,RETEMIC 5MG 30COM APSEN
644462,FECHADURA HELA 2002 04 EXT MADRID CR
12849,TUBO 200ML OU 8 POLEGADA
426596,LANCHE 2
632572,TOUCA TELINHA TIPO REDE
605125,CORTINA AR 90CM SPRINGER 220V
646864,PREGOMIN PEPTI 400G
678918,CILINDRO EMBREAGEM ATE
500477,"VASSORAO GARI MAD 37CM C CB 1,20M"
300436,COPO PLASTICO PS 180 ML CX 25X100
398453,LIMPADOR MULTIUSO CLASSIC 500ML
677360,GRAMPEADOR GENMES 25FL
447140,CORANTE AMARELO 50ML
35076,DESINF PINHO SOL FLORAL LV500PG450ML
273240,MANGOTE PVC SUCCAO ISAL AZUL 2
426517,SACO LIXO 100 LTS
852,PA P LIXO 22X32CM
517024,REG. GA 034 034 ALT. MB
385204,ADESIVO CASCOREZ EXTRA 1 KG HENKEL
69155,PAO PATE FRANGO KG
539754,YPF ELAION F50 D1 5W30 12X1 LT
214145,BUZINA FIAMM
518778,COLETOR CARBURADOR
158665,1044 LAMPADA V.MET 400W E 40
333949,BUCHA BANDEJA SUSPENSAO DIANT
179336,RALADOR
600817,HALTERES 02 KG PINTADO
353719,3500 I 3510 L TONER COMPATIVEL RICOH
397944,NIPLE FOFO 112 0176
514689,BISSULFATO CLOPIDOGREL 75MG CX 28 COM REV SANDOZ
591688,MARG DELICIA
127138,CESTO LIXO 5L
500913,PERFURADOR GENMES 2 FUROS P 35 FL 9780
640317,FILTRO LUBRIF. PSL 282
552700,DISCO FREIO STRADA PALIO TEMPRA 257
105131,VIPAL BORRACHA VULK REMENDO
315668,ROLO LA TIGRE 23 1396
135488,"CORALIT BR 3,6L"
234388,DOBRADICA FERRO OXIDAVEL 3 X 3 1 2
33623,COTOVELO GALVAN RF 45GR X 2
545486,SINVASMAX 20 MG C 30 CP REV
462840,PINCEL P PINTURA K21 16 ATACADO PCT C 12 KIT
3515,PINO GRAXEIRO 3 8 90
232439,PORCA COXIM
665326,JUNTA TAMPA VALVULAS MWM
497349,PLACA INDICATIVA 20X20
667893,BISTECA SUINA
323862,CONEXAO DO SERVO FREIO
379578,MACANETA INTERNA PORTA L D
360357,CARRINHO MAO F16
159846,LIMA 5 32
610780,MASSA P MODELAR C 12 CORES DELTA KOALA
462514,LUKSPISO 18L AZUL
223375,CIMENTO BRANCO KG
174898,PLACA 4X2 F0 SB FAME
213245,BROCA ZEKRYA EXTRA LONGA
613283,GRANOLA GRAN NUTRI 1KG
291381,PARAFUSO AMORTECEDOR
665607,LUVA SOLD 032MM
33454,CORREIA 6PK1548
511394,SAPONACIO RADIUM 300ML
522408,APLICADOR DYCAL ANGULADO
4720,"CABINHO FLEXIVEL 2,5MM AZ SIL"
485592,"MARCADOR MILLE.MHG1 3 9 0,3 1,5MM C 100 AM HEL"
163558,UNIDADE MEDIDORA DOSADORA
276506,ARGAMASSA QUARTZOLIT ACII 20KG
83001,RETENTOR 3226
54131,KIT P CX ACOPLADA ASTRA REF KS CAST 1586
486248,HORTIFRUTIGRANJEIROS PERA NACIONAL
1349,FITA ADESIVA EMPACOTAMENTO MARRON 48X45 EMBALANDO
22910,BARRA ROSCADA UNC ZB 3 8
101556,TUBO ESPIRAL SUCCAO AZUL NRE 3
348950,TINTA GUACHE 15ML CORES DIVERSAS
22975,BASE ACRILICA P ARTESANATO
133073,COLECAO PARA SEMPRE
265575,LINGUICA CALABRESINHA FINA PIF PAF
270819,LUVA SOLD 20MM CB
598179,ESPONJA FLASH LIMP QUADRADA INOX
466148,AMOXIL 250MG SUS FR 150ML
117810,BOTAS BRANCA
131793,BOLO COM COBERTURA
179676,REF COCA COLA 290ML
313342,RETENTOR RODA
45798,FITA MICROPORE 50MMX10M C CAPA ROLO
102954,VALVULA ADM STD
597514,MARG DORIANA C S 500G
117284,BOMBA DAGUA PALIO UNO FIRE 8 16V
652046,GELATINA PO APIT MARACUJA 35G
523277,PLACAS TATAME
63604,MELAO AMARELO BENASSI KG
516183,V.MARTELADO
498882,PAPEL GRAU CIRURGICO 30 CM
76391,PNEU 2 BRIDGESTONE
205320,ARTICULACAO AXIAL N634
291275,PARAFUSO ACETABULAR BIOMEC III 6.0X30MM
346958,PASTILHA FREIO DIANT TEVES PD 13
271884,MACANETA INTERNA UNO 95 LD
669925,VASS. PIACAVA N.5 C CB
111458,ARROZ ABC TIPO 1 5KG
552290,BOIA P CX. DAGUA 20MM TB9 ASTRA
580342,DISJUNTOR DIN 2X40A
274602,MANOPLA CIRCUIT
150034,FERRO CA 50 1 2
188961,PEGADOR P SALADA
369270,DABIGATRANA ETOXILATO 110MG
219222,CANETA P ECG V5 PRETA I
573524,PINO 1U9393
124598,CAPACITOR PERMANENTE 10MF
124268,CAP PVC 25 MM SOLD
598484,PANO CHAO FLANELADO ALVEJADO A
678504,OPTIVE FR 10ML
451945,CUBO DIDATICO
237655,FARINHA TRIGO C FERMENTO VILMA PL
422963,LONA 8X1 DUPLA FACE
452029,SEAL-TUBE GALVANIZADO PVC N 3
325203,SILICONE ESPECIAL
559241,TESOURA ESCOLAR S PONTA CX 20 UN
643552,01 CARNE  BOVINA MOIDA
558290,SUPLEVIT C PREVENT 1G 10COM
503285,ARQUIVO DESLIZANTE ACO
79215,PROT.SOLAR NIVEA FPS 30 200ML
597073,ABRACADEIRA S FIM 19X27 FT 14 MM
315996,BISCOITO ROSCA LEITE
614922,FEIJAO CARIOCA CODIL PREMIUM
128616,CANALETA 20 X 20 REC FECHADO BEGE 2221
617623,SUPORTE PING PONG PENTAGOL
165511,MORANGA HIBRIDA
442595,INTERRUPTOR EXTERNO 01 TECLA
571536,COLA ESCOLAR PEQUENA
495799,LAJE PRE
3801,"AMOXICILINA 250MG 5ML 60ML ITEM GENERICO Q 400,00"
666375,ESCOVA ROUPA INCAVAS MADEIRA
4347,COXIM FIXACAO
296689,PERFURADOR MESA METAL 2 FUROS JOCAR
659480,AGUA OXIG. CREMOSA 40 VLS 90 M
209212,PAPEL HIG BOB 60M 4UN
158070,LAMPADA EMPALUX 20 W
42989,FECHADURA SOPRANO BOLA
109183,AMORTECEDOR D T 13 1934
260045,KIT CIRCUITO POTENCIA NOVA VITALE NV BIV
361132,ESTILETE 18MM LARGO PLASTICO
435729,TUBO ESGOTO 100 PC
369331,ABRACADEIRA RSF 5 8X3 4
246585,FLUTINOL 5ML
330703,VERNIZ SPRAY 400 ML
609168,HIDRALYTE SOL LARANJA C 500ML
213232,BROCA ZECRYA PRIMA 151 28MM ANGELUS
420812,PARAFUSO ACO 1 2 X3. 1 2
305443,PRUMO LATAO MW N5 570GR
571729,ANEL ORING NACIONAL DO INVERSOR HID
492934,PE MOLEQUE INTEIRO
638460,PADRAO P. CEMIG MC1A1 7.0M GALVANIZADO
598479,ESTILETE LARGO 29 BP
674893,FERMENTO SECO BIOLOGICO
588344,REBITE ALUMINIO 608 10X10ST
122336,CAL P PINTURA 20 KL
695720,TE ESGOTO 150MM AMANCO
495929,ROLAMENTO EXTERNO DO CUBO RODA TRAS
210054,BOMBA AGUA V
204128,ARAME RECOZIDO FIO 18 TORCIDO
397016,PARAFUSO CABECOTE GRANDE
108266,ALFINETE CABECA NO.29
469300,TUBO PVC AGUA SOLDAVEL 32MM
119007,BROTO ALFAFA
253635,HIDRALAZINA 20MG ML 1ML
573167,"ELIQUIS 2,5MG 20TBLS"
344042,"TIBOLONA 2,5MG C 28 N.Q"
180348,RELE 24 V
31954,COLA QUENTE GROSSA UND
20785,ARGAMASSA VOTOMASSA EXTERIOR AC II 20KG
333974,"DEXCLORFENIRAMINA 0,4 MG ML SUSPENSAO 100 ML GENERICO"
442878,STA BARBARA OREGANO 70G
50554,HEMOGIN 10G
394485,SULFADIAZINA PRATA 1%%2050G
39806,COXIM DESCARGA CENTRAL FT PALIO STRA SIENA 3FUROS
278694,MICOLAMINA ESMALTE FR 6G LIXAS
681902,ACESSORIO PARA MESA ACRIMET CRISTAL LAPIS CLIPS
698409,ARR PRESSAO 1
157263,KIT EMBREAGEM 1.0
575769,LUBRI MOTOR S ATF 1L
460919,MANTEIGA AVIACAO 200GR C SAL POTE
283233,NESTOGENO 2 LA 400 G
26597,BUCHA P TORNEIRA PVC 1 2 1030 HERC
162255,CIMALHA FORRO PVC
208691,ABOBRINHA CAIPIRA
100860,TROFEU 2206
505290,FILE FRANGO PIF PAF
112488,ASEA HCT 40 25MG CX 30 COM REV
703529,TYLENOL DC 20CP
450531,LINGUICA CARNE SUINA TIPO TOSCANA
121192,CAFE CABOCLO 500G
188533,BISCOITO SALGADO TIPO INTEGRAL
332471,OUTROS/SUCO DEL VALE 1 LITRO
494717,PLASTICO PARA MESA
454989,COIFA HOMOCINETICA LE
157372,KIWI KG
119138,BUJAO BR B 3 4 TIGRE
376179,FILTRO OLEO WK 1060 4
70065,PAPEL TOALHA BCO 23X21 FD C 1250FL OFFICIAL PAPER
701837,CORREIA POLY V 6PK1365
168127,PALETA PC PD KG
563491,RETENTOR HASTE SELETORA
487879,LOTAR
243110,FIO NYLON 5.0
257110,ISORDIL 5MG CX 30 COM SUBLING
605736,"PRINCESA E A ERVILHA, A"
47091,FRALDA MONICA
551445,CAL P PINTURA CISNE 8 KG C FIXADOR
585896,SUGESTAO DO CHEF
318815,SACO ALVEJADO GA CRISTAL PANO CHAO
482824,ESTOPA BRANCA EXTRA 1KG
387247,BOTINA IMBISEG ELAST COURO S BICO
472056,BOIA AUTOMATICA
21484,ARRUELAS 1 2
646806,PAPEL A4 210X297 75G ROSA 100F SENINHA
699200,CARTUCHO TONER T5 65
706968,"TANQUE DP GD 1,07 X 0,57"
518889,KIT MEDIO SIMPLES BRANCO C 200 BELLA ARTE
253349,HD 1 TERABYTE
706189,AGULHA CROCHE ALUMINIO
528058,SALG. MARILAN SORTIDO QUEIJO
601257,RETENTOR COLUNA
212488,BROCA AR 5 16
353001,TONER AFICIO 20 MP1500 1900
480188,FUSIVEL PLASTICO 30 AMP
390110,TAMPA BOMBA COMB
173750,PEPINO CEASA
641659,"SACO FARINHA UN UN 1,0"
73770,PF. SX. UNC G5 1 X 4 RP
551709,FRALDA DESC. GERIATRICA TAM G C 08 MAX CONFORT
347027,PASTILHA FREIO GOL
375514,LIMA KF P MOTO SERRA
658695,SABAO PO TIXAN YPE PRIMAVERA 500G
279284,MIRENA 1 ENDOCEPTIVO DIU
618992,DISCO DIAMANTE AZUL ECONOMICO
24702,BOLOGNELLA DEFUMADA PERDIGAO
417123,BACIA SANIT. CONV. LUZARTE
562871,PRATO DESC COPOPLAST 21CM FUNDO 10UN
620900,LIMA TIPO K MAILLEFER C 6 15 40 21MM M ACCESS
206026,BALA MACIA PCTE
150998,FLANAX 275 MG C 20 COM
218800,CANELA PO SABOR 30G POTE
402173,ARROZ CARRIJO TP1
175328,"PNEU 11 R22,5"
253167,HASTE BLOQUEADA SP2 TIBIA 10X300MM
506586,PASTA SUSPENSA COLORIDA
403280,FLORATIL 200MG CX 6 CAP
661130,SOMALGIN CARDIO 200MG 4X8CPR
540408,MANIVASC 10 MG C 28 CPR
651239,BATERIA M60AD HE
40173,ESCOVA PARA VASO COM ENCAIXE
357581,FECHADURA STAM 701 80 ESP INOX
234707,EIXADA PARA CAPINA
444450,CABO FIBRA OTICA
665359,00131 RETENTOR
93022,PANO PRATO 50X70CM 100%ALGODAO
493430,SACO P L 200L REFOR TOQUE LIMPO C 5
564630,BROMAZEPAM 3MG CX 30 COM GENERICO TEUTO
658795,LIXA FERRO 080 3M 221T
639430,BUPROFENO 20MG ML SOLUCAO ORAL 100ML MULTI
571453,CAL HIDRATADA PARA PINTURA 8 KG
290285,PAPEL A4 C 10 RESMAS
238471,FECHADURA STAM 803 03 ESP. GRAFITE
191565,SACO HOSPITALAR 30L 59X62
330287,SPLAY ANTI LUB
378032,COLET.UNIVERSAL MASC FEM
622555,TE ESGOTO SANITARIO 100 X 100 AMANCO
441430,JUNTA VED. STIHL 1120 129 0901
374376,6205 2RS FAG
611026,FILTRO OLEO MOTOR 366
94440,TAMPA TC 7006 F
546029,ACUCAR CRISTAL GRAN PETIT 5KG
260480,KIT TESTE ACQUACHEK
328767,SONDA NASOENTERICA
3567,ENXERTO BIFURCADO COLAGENO 22 X 11MM RMS
625744,GIZ BRANCO 64 UN
409056,RISEDROSS 35MG C 4 COM
332975,SUMAX
144971,AGULHA DESC 40X12 100UN SOLIDOR
216410,CAFE LETICIA TRAD 250GR
110168,APAGADOR 150N FLIP TOP PILOT
375464,POTE 100 ML
407293,DOBRADICA 3 1 2 LEVE
486484,CETOCONAZOL CR 30 GR
316229,FITA VEDA ROSCA 12 MM X 25 M KRONA
169764,"PAPEL CREPON 48X2,00"
364812,MANILHA CONCRETO 100CM DIAMETRO
579951,A PEQUENA PRINCESA
518602,DISCO TACOGRAFO DIARIO TAC 24HS VDOX125KM
138599,DESINFETANTE ASPECTO FISICO LIQUIDO 2 LT
198623,AGUA COM GAS
446480,BAINHA IMPORTADA FRANC P 50
158120,LAMPADA HALOGENIA 70W
669750,REGISTRO COM ALAVANCA 1 2 METAL
564937,REATOR ELETRONICO 2X40W MARGIRIUS
43877,FILTRO 181167A1
609921,ESCOVA PARA VASO SANITARIO COM SUPORTE CONDOR
464882,SALSICHA FRIAL CX 6X3KG
364672,"SONDA ENDOT.ARAMADA PVC C B N. 6,0"
396931,VASSOURA LIMPAR PIACAVA N.4
698012,LANCETA DESCARTAVEL PARA LANCETADOR CALIBRE 28G CX 100
646160,COXIM CAMBIO VW
495155,"JOGO PORTAL 0,80 X 2,20 PEROBA"
126209,CASTANHA DA INDIA
572757,LAJOTA P FORRO BARRO H7
221993,CHAVE FENDA 1 8 X 3 FOXLUX
157574,ESPONJA LA ACO 60 G C 8 UNIDADES
204016,AR ARAME REC BWG 18. TORCIDO 01KG ST
233013,"CURVA,DN 3 ,90.,ACO,ZINCADA, P ELETRODUTO"
621610,BACIA CANELADA MEDIA REFORCADA
36962,DOBRADICA 3 1 2 C PARAFUSO
401967,"CAD CD 1 4 TILI VD 48FL UN 1,0"
459798,TINTA PARA DEMARCACAO VIARIA AMARELA
583897,BOLO CENOURA COM COBERTURA
386601,DESINF AZULIM LAVICS 1L
169109,KIT PAPANICOLAU M ADLIN
532183,"CORRENTE 36 RS 40 CM 3 8 1,6 MM"
303037,PORTA AGULHA MAYO HEGAR 14CM GOLGRAN
414900,NATELE C 28 COM
630304,FITA ADES CREPE 18X50 MSK6140 PC 6 EUROCEL
10024,CURVA ZINCADA 3 4 90 GRAUS DAISA
392287,SERRA ACO RAPIDO LENOX
534429,ABRACADEIRA TIPO D 25MM 3 4
547888,TONER COMPATIVEL HP Q6000 MAGENTA
185915,ROLO LA EXTRA
9061,CAFE PO DA FAZENDA 500G
47439,FUBA MIMOSO PACHA 1K
37383,CHUVEIRO LORENZETTI MAXI DUCHA
415425,REATOR VAPOR MERCURIO 125W 220V
355856,BOTA UNNA RL 10.2CMX9.14M UNNAHEAL
474800,GUARDANAPO ASTORIA C 50
303006,PORCA UNIVERSAL BK3
188035,SACO PAPEL PIPOCA 3
8333,PULVERIZADOR GUARANI NEVOA 500ML LRNJA 3255
139071,DIARIO UM BANANA UM ROMANCE QUADRINHOS
684592,ESPUDE P VASO SANITARIO TIGRE
170651,PARAF CORT 3.5X34 ANVISA
304906,PRODUTOS MANIPULADOS
257015,COLA ISOPOR 90G UND
417593,TONER HP CF352A
260652,L.EXTERNA CAIXA FAME 4X2 123
700335,NOTEBOOK INTEL
368545,XADREZ ADAPTADO MADEIRA
540006,ARAME OVALADO 1000 M
255280,IMPULSOR 09D
586624,FECHADURA ALIANCA COL EXT MAC BL 2600 90
571814,SUPORTE INSTRUMENTOS MIDWEST BRANCO C PALHETAS
342417,TERMINAL FJ 90 8 8
250528,GLICLAZIDA 30 MG CP
476873,OLEO AMEND FARMAX 100ML
459744,GUARDANAPO 24X22 C 50UN
174860,"PLACA T 3,5 3X5F"
147011,ESPARADRAPO ANTI ALERGICO
218646,CANALETA CONCRETO 09X19X39
446882,SIFAO LAVATORIO
471961,ARGONIO 4.8 CIL T
107418,"ADUELA COMPLETA 0,13 X 0,70 X 2,10"
155664,HIGIEN. AR CONDICIONADO
61745,MANG.LONADA P COMB. 5.0X9.5 MA5MM
592529,"SONDA ENDOTRAQUEAL PVC C BALAO 6,0MM 24 SOLIDOR"
565204,BATATA PALHA TRADICIONAL 140 GR
373587,JOAO E MARIA TODOLIVRO CLASSICOS TODOL
461173,FILTRO AR SRS 6201
276374,ARGAMASSA ARGAMIL 20KG INTERNA
483211,APICULTURA MEL ABELHA
32430,CONCRETO USINADO FCK 20 CONVENCIONAL
415474,Q05F17 ROTULA
487646,CETOPROFENO 100MG IV CX 50FA ARTRINID IV
118954,BROCOLES
327154,JOELHO 90 SOLDAVEL 20 TIGRE
527636,SABAO B.YPE 5X1
520367,"VERGALHAO 08,0MM 5 16'' CA50 RETO 12M"
451591,MANIVELA VIDRO VW
669764,GARRAFA TERMICA TERMOLAR
240527,FILTRO AR INTERNO COD
49056,GORJETA
406462,MINI MOUSE USB
450875,POLICLAVUMOXIL 500MG 12COM
400207,DIOSMIN SDU C 30 SACHE LAR LIM
470780,TIJOLO LAJOTA 9 X 19 X 19
236614,EXTENSAO F PARALELO 2X75MM 05M ILUMI
679261,FILTRO COMBUSTIVEL P.N
448026,BUJAO GALV 3
449915,GUIA BAIXO ACO NAVAL 300
52782,JOELHO ESG. 75 MM PLASTUBOS
625192,ROLAMENTO ALTERNADOR F00M9990439 BOSCH
71296,PARAFUSO FENDA 5.5 25
547694,CORDA SEDA TRANCADA 3MM FINA
237754,FARINHA TRIGO PRIMOR 1 KG
163825,CENOURA VERMELHA KG
36664,DISJUNTOR MDW C 2 X 20 AMP
484695,"DOBUTAMINA 250MG, CLORIDRATO ITEM GENERICO Q 100,00"
141311,DORMONID
78696,PREGO COM CABECA BELGO 17X21 200
111473,ARROZ AGULHINHA TIPO 1 PCT 05 KG
449700,PORCA COMUM 10 MM
240467,FILTRO AR FORD
571526,JANELA 4F ALU.100X100
655679,ETIQUETA INKJET E LASER 6085 PIMACO PCT 10 FL
563965,BOMBA GRAXA 07KG HIDRONLUBZ
170813,PARAF 12X130
424912,HORTIFRUTIGRANJEIROS BANANA PRATA 14
182710,PINCA PEAN RETA 14CMS
685988,GUARDA PO ALAVANCA
102852,VALPAKINE 200MG SOL FR 40ML
415056,AMAC ROUPAS COMFORT CLASSIC 2 L
694014,CORREIA 5PK 1745
495892,FERRAGEM 5.0MM
22796,BARBANTE CRU 200G EUROROMA
702344,BISCOITO MAIZENA PERIQUITO
20808,ARISTAB 15 MG C 30 COM
456249,XYLESTESIN 2%%20C V SOL. INJ. 10EST. X 1FA. X 20ML CLORIDRATO LIDOCAINA
295091,PASTA POLIONDA 2CM AMARELA
664388,"CAFE 3COR TRAD 500G UN 1,0"
352493,MOLHO TOMATE C 340 G
399062,"TRAVOPROSTA 0,04MG ML SOL OFT FR GOT X 2,5ML"
44711,FILTRO OLEO MOTOR A0001801609
670383,SACO LIXO PRT 200L C 100
645137,PERNEIRA SEGURANCA C TALAS PVC E FECH SOL
572653,REATOR P LAMPADA V.METALICO 400 W
460709,ESCOVA SANIT.SANTA TERESINHA
339459,COSTELA KG
324281,SHAMPOO CREMOSO P LAVAGEM PINT AUTO 50 LT
659468,RIPA 1.50X4 MASSAR
149779,FERRAGEM 10.00 3 8
563189,MANTEIGA MARESP 200GR
189081,SAL PACOTE 1KG
314011,RISPERIDON 1MG/ML  30ML   CRISTALIA
50362,HASTE ENDER 3.5 X 29
